#prefix,addresses,ent9,ent10,ent11,ent12,ent13,ent14,ent15,ent16,ent17,ent18,ent19,ent20,ent21,ent22,ent23,ent24,ent25,ent26,ent27,ent28,ent29,ent30,ent31,ent32
20010428,168,0.121,0.121,0.000,0.125,0.000,0.581,0.507,0.983,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.117,0.123,0.106,0.130,0.536,0.894,0.817,0.836
20010470,250,0.595,0.637,0.766,0.947,0.185,0.841,0.869,0.924,0.395,0.410,0.508,0.490,0.514,0.509,0.295,0.286,0.304,0.324,0.566,0.555,0.588,0.647,0.696,0.779
20010500,140,0.088,0.184,0.768,0.806,0.123,0.027,0.183,0.399,0.000,0.015,0.138,0.123,0.015,0.015,0.015,0.015,0.046,0.031,0.046,0.073,0.015,0.106,0.562,0.711
2001067c,163,0.392,0.827,0.914,0.523,0.404,0.508,0.461,0.734,0.246,0.310,0.354,0.343,0.335,0.353,0.224,0.233,0.237,0.302,0.435,0.417,0.400,0.553,0.878,0.931
200108d8,191,0.221,0.086,0.308,0.506,0.585,0.246,0.595,0.614,0.434,0.461,0.459,0.459,0.568,0.561,0.619,0.425,0.592,0.603,0.728,0.707,0.473,0.518,0.790,0.852
20010da8,285,0.780,0.376,0.290,0.735,0.722,0.751,0.702,0.846,0.882,0.800,0.890,0.950,0.903,0.912,0.894,0.900,0.884,0.873,0.917,0.929,0.940,0.971,0.984,0.992
20010ee0,646,0.000,0.000,0.000,0.706,0.000,0.000,0.094,0.975,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.241,0.741
20010fb0,295,0.000,0.000,0.000,0.143,0.000,0.000,0.339,0.983,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.750
200112e0,154,0.000,0.000,0.000,0.043,0.000,0.000,0.168,0.914,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.343,0.943
200116a0,191,0.000,0.203,0.000,0.000,0.000,0.000,0.104,0.971,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.750
20011af8,111,0.019,0.262,0.275,0.000,0.258,0.098,0.671,0.542,0.690,0.663,0.220,0.553,0.037,0.037,0.033,0.033,0.033,0.033,0.019,0.019,0.056,0.056,0.211,0.477
